time cpu-1-0 cpu-1-0
1 4914.94% 5054.41%
2 190.31% 195.28%
3 191.76% 193.40%
4 192.55% 195.21%
5 178.05% 186.34%
6 186.25% 188.69%
7 191.80% 192.78%
8 195.62% 191.50%
9 188.09% 192.43%
10 194.78% 190.41%
11 189.89% 195.11%
12 187.60% 193.85%
13 193.86% 191.93%
14 192.56% 192.41%
15 192.03% 190.74%
16 192.63% 193.68%
17 190.57% 190.98%
18 195.46% 191.99%
19 193.63% 193.24%
20 187.05% 195.61%
21 190.41% 195.48%
22 194.89% 191.15%
23 190.55% 193.40%
24 194.23% 191.36%
25 194.01% 192.97%
26 194.15% 192.56%
27 188.03% 194.44%
28 194.70% 192.30%
29 196.11% 191.66%
30 193.59% 192.34%
31 195.86% 192.85%
32 194.48% 192.55%
33 188.97% 189.87%
34 195.55% 187.52%
35 194.30% 193.49%
36 190.76% 196.25%
37 190.28% 195.13%
38 189.30% 195.85%
39 194.15% 178.85%
40 189.40% 193.61%
41 194.20% 193.12%
42 189.96% 195.94%
43 191.56% 195.20%
44 193.22% 192.24%
45 193.29% 191.60%
46 192.85% 192.81%
47 195.16% 192.01%
48 192.30% 193.64%
49 194.83% 179.46%
50 186.05% 182.98%
51 192.73% 181.94%
52 193.55% 189.82%
53 191.46% 190.62%
54 189.36% 191.26%
55 184.64% 184.75%
56 187.47% 175.41%
57 192.38% 177.17%
58 196.07% 187.36%
59 195.00% 191.64%
60 190.63% 192.72%
61 190.87% 189.14%
