12.05 23.49 62.66 94.06 99.88 105.37
13.32 27.10 54.83 99.92 99.71 104.34
13.04 26.29 56.61 100.48 99.77 101.12
11.48 30.24 60.56 92.03 99.70 105.59
12.15 29.23 53.79 100.45 100.88 104.02
9.68 29.06 58.83 99.70 99.17 101.26
10.54 25.76 56.44 98.77 99.72 106.04
14.02 27.18 54.02 99.67 100.07 104.11
12.28 30.60 52.08 99.51 100.28 104.43
14.01 26.97 54.42 99.80 98.55 104.00
14.88 26.30 53.93 100.69 99.36 105.18
13.44 27.45 54.03 99.51 99.84 103.16
13.75 27.48 55.72 100.36 100.17 102.59
14.04 28.22 55.40 99.99 100.68 101.84
13.52 26.18 53.13 99.26 99.75 106.39
13.93 46.25 45.43 84.07 99.93 109.21
11.88 20.15 96.61 66.04 99.48 105.11
14.61 25.82 59.52 92.11 100.31 106.82
12.06 21.72 55.54 86.64 99.83 125.28
11.15 17.72 83.63 74.37 99.51 111.94
14.46 21.32 62.00 88.82 99.86 106.27
17.39 26.03 48.90 93.31 99.32 108.68
20.31 20.92 72.79 79.21 101.58 110.45
10.33 20.77 61.69 92.24 98.97 109.06
11.49 27.96 58.92 97.82 99.48 101.80
13.30 26.16 51.78 99.21 100.05 106.88
11.29 25.67 60.27 99.39 99.65 103.51
13.20 28.14 54.81 99.57 100.43 103.51
8.82 28.70 62.33 90.62 100.33 109.19
11.08 18.57 66.21 83.90 99.65 114.67
9.08 21.61 83.74 79.86 100.79 106.90
13.10 26.50 52.91 99.18 99.07 106.26
13.73 27.19 54.49 99.38 100.08 105.63
14.70 23.41 58.92 97.07 99.77 103.93
13.99 28.33 54.48 99.44 100.68 102.46
14.32 27.84 57.19 99.31 100.26 102.39
13.06 27.30 54.90 99.21 99.52 103.30
14.54 27.77 55.53 99.43 99.85 103.71
13.21 27.35 54.82 98.41 99.83 102.57
14.05 24.31 54.73 98.55 100.16 108.24
17.94 36.12 44.10 90.81 100.62 109.30
14.84 20.31 60.05 97.36 99.02 101.56
14.26 27.12 55.71 95.40 99.76 106.31
12.86 28.09 57.53 99.11 100.80 103.69
13.97 27.65 55.21 99.26 99.29 103.50
13.34 31.00 53.72 96.46 100.08 102.63
11.16 39.54 62.33 86.32 100.30 100.39
11.34 31.80 61.63 93.78 99.28 100.76
14.63 28.09 57.27 93.05 100.13 105.86
14.19 28.71 57.23 94.23 100.08 104.74
14.23 28.95 56.61 92.86 100.27 106.36
14.58 28.96 56.51 96.86 99.33 101.97
14.22 28.58 57.54 94.24 99.91 104.62
14.10 28.20 57.22 94.01 100.73 105.21
14.81 28.16 57.02 93.74 99.37 105.71
13.69 29.20 57.12 95.88 100.23 103.92
14.49 28.23 57.33 97.08 99.83 102.41
14.02 29.00 57.16 96.75 100.15 102.62
14.53 28.34 56.83 96.79 100.31 102.54
14.72 28.40 56.87 96.18 99.16 103.22
13.53 28.90 57.57 96.64 100.28 103.04
14.73 27.96 57.29 93.85 100.20 105.84
14.51 29.12 56.71 98.17 99.81 101.26
13.78 28.25 57.69 95.73 99.64 103.81
14.05 28.65 57.21 97.50 100.14 101.53
14.79 28.71 56.49 97.17 100.52 101.89
13.96 28.54 57.52 97.75 99.32 101.59
14.06 28.75 57.16 97.68 100.66 101.90
14.62 28.42 56.94 97.91 99.58 101.42
14.70 28.59 56.70 95.84 99.99 103.76
13.99 28.67 57.38 96.89 99.96 102.82
14.12 28.05 57.75 98.40 99.80 101.35
14.44 28.97 56.58 95.72 100.00 103.90
14.47 28.81 56.68 97.36 100.54 102.37
14.43 27.75 57.82 97.42 99.45 101.62
14.16 28.61 57.20 94.19 99.98 105.58
13.67 29.05 57.23 96.76 100.04 102.52
15.13 28.31 56.59 96.57 99.92 103.07
13.98 29.08 56.93 95.99 99.39 103.23
13.44 26.90 55.33 95.92 99.92 105.42
13.72 28.28 55.64 99.53 100.75 101.97
13.99 27.25 54.48 99.84 99.22 103.63
13.40 27.23 54.94 100.39 99.95 103.69
13.69 27.57 54.76 99.52 100.21 103.28
13.88 27.03 54.29 100.00 100.36 104.58
12.99 25.84 52.30 99.97 99.41 108.30
11.80 28.55 56.91 99.30 100.40 103.98
13.36 27.73 54.95 99.08 99.59 103.05
13.51 27.40 54.75 100.91 100.97 103.76
14.59 27.04 55.17 99.51 99.27 102.39
13.18 28.04 55.52 99.96 100.19 102.47
13.74 27.51 55.23 99.88 100.36 102.47
14.02 27.76 55.71 100.08 99.34 101.58
13.86 27.17 53.58 99.80 100.09 104.25
13.30 27.22 54.86 100.20 99.98 104.01
13.55 27.39 54.95 99.54 99.98 103.32
13.43 26.65 53.40 99.89 100.24 105.93
14.03 27.99 54.78 100.35 99.41 102.21
13.88 26.84 54.47 99.89 99.97 104.57
13.43 27.63 54.78 99.73 100.01 103.16
13.67 28.03 55.90 100.30 100.00 101.34
13.96 27.42 55.60 100.22 99.96 101.79
13.41 26.93 53.62 99.85 100.04 106.29
13.46 27.95 55.81 98.09 100.15 103.52
9.78 32.76 59.17 94.95 100.76 104.65
13.15 25.59 59.68 95.83 99.27 102.58
16.38 38.37 47.88 98.46 99.91 98.26
13.82 28.75 53.83 99.93 100.46 103.82
13.88 27.38 54.25 100.66 100.24 104.64
13.15 26.62 54.43 99.23 99.05 104.01
13.94 27.17 53.28 100.16 99.95 105.30
13.23 26.92 53.89 99.35 100.05 105.26
13.73 28.06 55.39 100.48 100.08 102.03
13.38 26.72 54.93 100.32 100.80 103.53
13.91 28.31 55.38 98.96 99.87 100.94
13.62 26.40 53.63 100.01 99.64 104.31
13.13 26.66 53.22 99.76 100.04 106.59
12.16 26.80 53.56 99.23 100.40 107.87
11.81 36.30 50.25 93.51 99.17 105.79
12.78 27.77 54.96 99.29 99.94 103.72
13.75 27.26 54.37 99.99 100.42 104.43
13.50 27.58 53.92 100.00 99.58 103.75
13.99 27.63 56.45 100.48 100.08 101.84
13.74 27.31 54.83 99.46 99.68 103.06
13.91 27.47 54.37 100.95 100.89 104.57
11.31 29.99 54.17 97.35 99.03 105.16
15.42 32.44 49.88 100.15 100.46 101.90
14.09 27.48 54.63 100.33 100.18 103.30
13.44 27.56 55.06 99.29 99.70 102.61
12.83 27.42 54.80 99.64 99.98 104.78
12.58 27.27 54.75 100.27 100.12 104.66
12.99 27.61 54.38 99.30 99.72 104.00
9.48 20.55 71.71 91.67 99.87 106.10
13.73 27.39 56.43 100.23 99.65 101.86
13.95 27.91 55.65 99.82 99.99 101.24
12.18 28.74 56.41 98.16 100.56 103.61
10.93 24.11 56.13 98.98 99.15 107.90
13.02 28.25 55.10 98.01 101.25 105.68
9.00 32.36 55.04 88.85 98.94 110.94
9.20 77.07 31.66 70.95 94.38 110.60
30.80 61.84 32.89 67.82 92.14 110.99
23.21 41.96 62.40 71.45 92.61 106.97
14.32 28.82 56.38 99.57 90.24 108.67
23.84 30.71 51.07 85.18 99.60 107.97
12.67 23.96 66.55 93.15 99.75 104.72
10.22 29.02 58.92 91.07 99.55 109.92
10.99 30.38 60.43 95.45 99.73 102.23
13.74 26.46 53.36 99.53 99.63 106.10
9.26 21.46 69.86 85.92 99.75 112.46
11.90 32.32 63.70 88.23 99.78 103.94
13.35 27.30 55.18 99.34 99.69 104.18
11.88 28.06 57.06 99.61 99.70 103.67
13.84 28.55 55.40 99.67 99.56 101.81
13.88 26.51 54.54 98.25 99.68 104.56
13.82 28.43 56.18 100.12 99.57 101.15
13.50 26.59 52.41 100.02 99.46 106.82
14.27 27.82 56.39 99.85 99.70 101.33
13.29 28.33 56.03 100.39 99.93 101.44
14.12 27.03 54.37 100.54 99.90 104.72
13.19 25.79 52.16 99.28 98.88 106.95
9.97 27.55 59.77 98.57 99.53 103.10
10.57 28.36 58.05 102.19 100.54 106.11
11.32 24.64 60.37 95.32 97.26 99.59
13.86 26.55 53.00 100.65 99.60 105.33
12.46 27.59 51.40 98.50 96.99 105.54
9.11 31.56 58.14 94.67 99.80 106.51
13.65 27.42 56.51 99.86 99.32 102.54
9.65 32.05 55.52 99.18 99.32 105.22
12.14 29.56 56.44 98.58 98.44 99.63
13.22 27.08 55.41 99.06 100.14 104.61
13.09 26.17 51.94 99.91 99.56 106.65
13.65 27.53 54.29 99.57 99.72 103.41
14.38 28.35 55.91 99.25 99.84 101.98
