57.33 56.92 70.07 74.92 62.30 57.72
63.59 55.32 80.02 62.24 68.94 68.31
72.60 64.25 70.45 84.98 54.99 50.16
52.26 63.83 65.01 89.94 77.63 51.21
83.04 82.62 58.82 67.30 58.79 49.24
86.60 50.00 64.23 86.34 58.58 53.70
60.31 78.74 76.94 81.45 45.78 54.69
71.64 81.72 84.21 62.09 47.17 48.90
79.36 50.68 77.61 71.19 47.12 70.91
80.83 50.13 70.42 48.51 74.58 74.70
71.48 67.38 71.10 54.49 62.11 72.71
83.14 62.00 48.26 65.66 68.21 71.81
92.67 46.73 65.33 62.76 50.63 79.33
69.14 47.78 81.26 58.52 71.52 70.83
56.92 71.15 61.62 76.53 60.59 64.27
82.06 46.30 70.80 63.76 73.60 60.55
76.86 49.87 73.25 94.60 58.85 46.78
65.51 51.27 62.69 74.66 78.78 62.57
68.77 69.11 55.98 80.37 55.44 70.21
46.55 83.32 74.87 48.71 75.70 67.94
82.14 60.10 71.58 44.51 72.15 68.92
65.12 60.08 73.11 74.52 78.21 46.41
70.69 65.42 58.19 73.93 78.60 51.06
66.49 76.52 66.30 58.90 72.06 59.38
72.85 59.98 62.41 62.10 49.72 92.44
57.95 57.80 80.52 53.70 79.95 69.15
79.12 49.86 69.36 78.37 47.32 75.23
74.70 76.05 54.38 75.87 67.68 49.52
75.65 68.39 62.44 71.88 45.68 74.73
72.95 76.53 63.83 47.70 68.15 70.20
80.92 79.02 48.25 77.30 44.34 70.05
60.55 70.51 53.86 91.12 48.07 74.46
49.66 62.34 77.39 65.51 70.05 74.75
59.68 54.66 63.98 86.71 72.57 60.39
59.19 54.73 59.27 58.04 80.10 86.86
68.86 74.54 82.66 54.03 44.33 74.50
55.22 49.36 63.07 63.06 73.94 93.35
58.75 68.35 68.60 70.06 59.11 70.87
51.44 77.08 58.43 58.62 82.77 71.13
93.66 67.30 50.37 74.13 56.05 57.59
71.19 84.04 45.12 46.47 77.88 74.77
48.34 66.33 61.06 64.04 91.18 68.27
54.29 78.70 60.25 78.95 68.88 57.11
59.95 73.83 71.88 67.21 67.81 58.24
45.70 46.73 65.88 80.47 82.24 77.79
84.91 49.03 64.42 70.83 63.04 67.10
84.67 70.56 76.43 45.11 65.45 56.47
66.57 74.77 66.72 67.01 75.29 48.94
48.05 65.83 83.79 51.41 73.70 75.44
76.65 78.37 48.63 70.22 74.64 51.12
73.62 58.16 74.75 64.27 55.83 73.08
59.16 60.12 69.41 84.44 69.11 55.35
96.43 77.59 51.47 48.84 63.44 62.21
60.17 75.63 67.63 71.66 42.03 83.25
62.76 77.34 64.69 55.61 70.94 66.87
69.65 62.54 44.27 87.53 62.14 72.29
63.57 47.47 72.80 63.94 71.93 79.69
75.84 88.03 48.04 80.71 50.83 54.89
90.17 52.36 60.03 57.25 80.86 60.71
46.36 77.07 79.40 52.41 61.98 79.98
69.74 58.19 59.87 88.68 54.63 69.17
62.08 95.70 70.73 66.58 56.76 47.69
47.27 68.31 63.41 82.55 59.49 78.47
54.75 87.71 48.96 81.78 74.73 50.64
80.68 68.89 80.15 72.94 49.25 46.28
78.97 78.11 69.58 78.92 47.09 46.90
65.71 68.25 49.50 54.76 80.70 80.66
64.24 72.87 45.97 62.63 66.91 79.77
75.09 63.83 52.39 88.98 56.36 62.51
42.05 74.79 84.83 42.70 90.26 64.44
77.89 65.92 66.53 48.85 74.88 65.81
47.40 79.88 77.00 46.10 74.85 74.18
44.36 71.01 84.65 80.25 48.93 70.46
65.92 69.79 78.91 55.86 57.78 71.21
59.25 72.08 58.35 78.89 61.88 68.67
65.60 64.65 73.97 84.72 66.17 44.38
55.42 46.88 80.30 61.49 90.54 64.90
72.79 79.64 67.27 53.78 55.30 69.22
62.34 74.69 67.28 64.89 58.79 71.48
69.86 52.93 80.79 72.86 75.56 47.48
78.36 69.54 72.27 71.18 58.39 49.31
70.06 61.20 49.35 70.47 71.64 77.31
64.40 68.30 67.80 71.24 69.51 57.33
65.48 59.59 81.91 67.29 62.75 62.59
