104.02 73.03 57.42 43.25 36.89 45.84
112.04 93.88 61.62 31.06 27.12 60.57
132.64 77.75 55.36 44.67 27.90 37.58
116.60 89.86 73.03 47.75 28.51 21.21
113.76 80.56 70.12 40.36 54.28 25.19
113.90 86.65 74.28 48.68 38.78 11.78
126.84 95.05 62.72 42.12 30.06 14.97
113.97 83.58 61.55 52.78 42.18 21.01
134.87 91.81 55.18 35.99 36.09 11.60
135.50 101.96 59.25 39.04 20.86 14.68
105.66 92.23 64.63 67.62 18.88 10.97
123.35 83.59 57.29 40.06 42.62 26.91
116.99 92.60 67.14 35.82 30.77 24.58
103.81 84.04 83.37 44.12 29.94 30.34
103.74 94.26 73.93 44.40 30.17 30.63
114.47 91.06 68.92 42.63 27.71 39.06
112.95 81.63 71.13 44.81 42.49 21.25
137.98 85.97 66.14 37.14 33.25 27.79
119.05 81.77 58.41 34.10 53.53 31.82
108.81 97.40 73.17 45.40 38.77 12.48
109.39 88.56 68.32 52.56 28.89 26.70
135.05 105.97 55.68 43.55 22.97 11.77
109.10 87.27 70.87 46.49 32.34 24.01
121.66 84.43 67.55 45.50 27.93 27.44
142.71 79.98 76.84 39.32 22.68 15.43
131.94 89.27 59.16 44.85 22.18 36.21
128.80 88.26 65.30 38.62 31.17 25.49
142.32 99.30 59.93 30.50 37.51 7.96
148.37 105.20 55.06 29.61 17.80 16.46
152.64 96.27 59.50 33.74 24.77 11.40
152.41 103.74 55.46 27.57 17.13 8.21
138.72 94.29 61.00 33.79 18.58 13.00
137.00 99.59 53.12 30.58 21.00 30.35
114.67 81.67 58.60 46.58 38.07 30.26
136.92 90.91 52.36 33.75 40.16 18.15
113.49 91.70 91.06 50.57 32.54 14.12
104.16 86.39 83.27 43.24 42.26 22.53
106.16 96.41 72.72 45.73 32.51 27.48
111.13 92.32 88.94 40.29 24.98 27.79
108.30 100.69 85.08 52.73 23.76 14.20
100.68 95.46 81.58 36.67 51.18 15.39
132.96 97.07 62.57 43.24 26.15 15.02
110.85 93.73 64.42 48.86 28.10 27.89
138.94 82.73 73.84 40.17 25.84 15.09
116.41 79.88 67.09 54.07 32.46 24.31
95.37 88.16 75.68 71.50 41.75 16.96
105.97 87.23 73.61 43.91 46.68 22.52
96.54 77.08 64.83 44.89 33.05 65.06
114.29 85.93 58.98 39.02 24.70 45.65
105.08 83.82 59.42 59.01 31.58 31.69
132.04 84.95 70.06 36.71 24.13 23.93
125.66 88.65 60.24 31.99 46.05 21.53
106.78 89.51 66.53 52.29 32.21 21.18
93.00 88.47 86.56 45.15 39.21 24.13
112.41 90.87 67.30 44.16 36.42 29.83
133.69 96.92 59.90 35.56 31.91 31.53
140.14 110.38 54.99 39.12 18.04 11.75
130.31 92.51 61.73 61.53 17.05 8.82
142.17 92.52 63.20 40.67 25.31 11.37
148.29 92.72 61.45 40.89 21.69 14.78
103.36 75.54 68.88 58.47 35.99 23.43
108.71 90.75 74.82 37.34 29.01 16.05
146.46 99.77 61.07 36.39 18.07 8.78
184.60 101.82 53.22 26.13 13.66 6.98
169.92 98.25 56.05 26.49 14.94 14.18
105.28 91.80 73.40 58.73 22.72 34.80
107.85 83.00 63.87 63.47 27.43 32.01
117.23 96.73 75.01 41.75 28.99 23.59
112.54 92.31 65.19 36.58 61.02 10.32
112.34 91.32 55.35 47.82 37.90 37.74
97.94 93.55 65.62 57.16 35.58 29.05
113.99 75.39 68.10 48.40 24.00 48.06
118.30 80.57 85.75 48.12 27.56 18.75
115.44 100.76 72.28 58.75 18.15 9.67
119.36 92.09 67.34 52.90 29.13 13.21
119.01 94.69 77.91 46.26 30.37 14.97
105.30 80.11 69.48 58.14 45.53 18.33
124.45 91.75 55.30 47.72 27.60 24.19
116.88 88.74 66.06 39.92 22.63 43.13
166.74 99.99 55.94 28.42 20.79 11.71
153.52 100.24 52.18 26.09 22.67 12.60
128.54 101.16 65.37 32.72 22.42 25.46
131.53 87.11 63.15 32.43 23.42 26.88
124.31 82.90 63.27 48.59 33.47 17.21
119.85 88.11 58.03 36.76 27.85 42.20
102.37 93.74 75.98 37.46 31.12 30.44
134.66 77.84 66.36 49.83 28.08 20.36
163.73 96.19 64.59 30.98 17.90 12.76
162.12 102.42 56.73 26.69 14.42 9.45
148.14 108.35 52.94 33.20 19.33 10.47
130.43 84.24 69.05 43.28 27.06 16.60
127.09 94.50 61.05 47.29 22.82 17.39
121.92 83.47 66.39 44.80 26.25 27.76
128.87 81.14 68.27 44.07 26.03 28.53
104.64 86.81 63.86 52.40 27.62 30.99
126.44 84.10 60.34 52.78 29.36 21.09
124.05 98.86 58.25 42.93 30.89 19.84
151.24 88.16 55.73 31.59 41.53 11.32
140.85 78.30 74.20 44.15 38.45 16.53
116.68 83.12 67.57 60.29 22.02 30.37
124.35 92.22 65.06 37.67 36.32 14.75
114.98 104.56 61.25 54.61 23.66 13.93
137.14 80.72 56.01 50.72 33.58 15.02
118.52 95.75 74.28 40.32 25.64 16.69
154.09 96.02 59.90 32.73 18.09 13.00
133.04 91.78 63.28 50.59 26.45 13.30
117.84 92.64 73.74 38.53 28.05 27.97
118.32 98.16 64.82 30.83 50.12 22.80
127.20 82.10 55.81 43.25 32.24 29.08
128.12 100.76 61.48 33.24 35.49 16.04
117.17 86.65 68.84 40.01 38.35 28.42
109.47 83.48 82.84 37.41 49.67 17.42
118.17 82.68 67.87 59.30 24.24 23.18
119.10 81.88 70.46 64.03 21.42 19.39
